name,0,1,2,3,4,5
サンライズキッズ保育園 亀戸園,,残4,残3,,,
コビープリスクールかめいど,残3,26,,,,
亀戸,,なし,24,残3,なし,残8
こころこうとう,17,残2,16 【優】,なし,残2,残4
まなびの森保育園 亀戸,24 【優】,26 【優】,なし,,,
保育園ミルキーウェイ亀戸園,残5,残1,,残4,残5,残5
亀戸第二,,16 【優】,残1,23,残1,残5
亀戸こころ（分園）,残3,ー,,,,
亀戸こころ（本園）,残2,26 【優】,24 【優】,24,残2,残4
亀戸浅間,22,28 【優】,26 【優】,ー,,
ひまわりキッズガーデン有明,,25,残 8,残 1,残 2,なし
ひまわりキッズガーデン有明の森,24 【優】,残 3,残 7,残 1,,
さんいく保育園有明,22,なし,残 1,残 2,残 6,残 2
武蔵野大学附属有明こども園,24 【優】,26 【優】,ー,24 【優】,,
ニチイキッズありあけ,なし,残 4,残 2,残 1,残 1,残 5
辰巳第二,,25,残 4,残 3,残 5,残 4
辰巳第三,16,16 【優】,なし,残 11,残 7,残 8
太陽の子 潮見,16 【優】,26,ー,,残 3,残 8
潮見,残 1,28 【優】,残 2,残 1,残 4,残 4
亀戸第三,24,26 【優】,26 【優】,27 【優】,残 3,残 3
かめのこ,,残 7,残 1,,,
おはよう保育園 亀戸,なし,残 1,ー,,残 2,残 4
クオリスキッズ亀戸,24 【優】,26 【優】,26,27 【優】,残 1,残 2
陽だまり,残 4,26,26,24,,
江東亀戸サテライトグローバルキッズ竪川園（分園）,,残 1,,,,
江東亀戸サテライトグローバルキッズ竪川園（本園）,22,26 【優】,残 3,なし,残 2,残 4
にじいろ保育園 亀戸,24,26 【優】,ー,残 3,残 2,残 14
もりのなかま保育園 亀戸園,残 1,16 【優】,残 3,,,
アンジェリカ亀戸,残 2,23,16 【優】,,残 1,残 1
亀戸第四,残 1,26 【優】,18,,残 3,残 3
グローバルキッズ亀戸園,なし,残 3,残 3,残 2,残 3,残 6
グローバルキッズ西大島園,24 【優】,28,26 【優】,27,,残1
マミー保育園西大島,,26 【優】,残1,ー,,残1
花と鳥,24 【優】,26 【優】,なし,26 【優】,ー,残1
プチ・ナーサリー西大島,25,28,ー,,,残1
大島なかよし,,26 【優】,残1,,,残2
キャリー保育園にしおおじま,,残2,残1,,,
大島第二,,26 【優】,残1,26,残1,残1
大島第五,17,26 【優】,残3,27,なし,残1
太陽の子 大島五丁目,24 【優】,26 【優】,残3,ー,残9,残6
京進のほいくえん ビーフェアおおじまタウン,,残1,なし,残4,残6,残 13
大島,,20,残2,なし,残2,残2
大島第三,,26 【優】,16 【優】,24,なし,残4
ココロラボインターナショナル大島（本園）,24 【優】,26 【優】,残1,,,
ココロラボインターナショナル大島（分園）,,,,,残3,
キッズスマイル江東大島,24 【優】,26 【優】,ー,,残2,残1
かがやき,24 【優】,26 【優】,26 【優】,24,なし,
大島第四,,残2,残4,残1,残5,残6
アスク東大島,27,残3,残2,残2,残 12,残 12
キッズフィールド東大島駅前園,残1,残1,残1,,,
わかば,23,26 【優】,ー,20,残2,
小名木川,24 【優】,27,26,26,残1,
北砂,,26 【優】,21,残1,残1,残4
スクルドエンジェル北砂園,23,26 【優】,25,残2,なし,残1
砂町,24 【優】,26 【優】,16 【優】,残2,残4,
キッズスマイル江東北砂,残1,26 【優】,残1,残1,残8,残 19
